,GO:0007264,GO:0006412,GO:0000209,GO:0007411,GO:0007605,GO:0055085,GO:0007420,GO:0008360,GO:0001666,GO:0007010,GO:0071356,GO:0070588,GO:0071277,GO:0042981,GO:0030036,GO:0051897,GO:0045766,GO:0072659,GO:0034599,GO:0018105,GO:0002181
GSM989837,-0.016553979512607953,-0.3112193300502497,-0.0031768251218409205,1.3178005371115518,-0.6279739461978124,-0.006214143959027751,0.01817009593361263,-0.008629753599450396,-0.005471656156373683,-0.06626519667497632,-0.0029276000231703847,0.000264938877194254,0.006109751898677018,-0.01813137037483159,0.016268345730736655,1.7562430343941315,-0.0029360638312567744,-0.004605182438154998,-0.0056683588129970985,-0.0019379689384209087,-0.30120561721160755
GSM989838,0.01711126617240666,0.17594741168092298,0.0019447009261881476,-0.1558934788101567,0.4780902165429808,0.004061173364505066,-0.010058353521330332,0.003288255419562347,0.0013579082193473369,-0.00779342938497507,-0.01302412839754652,0.0013301343844744906,-0.005682029239736153,0.012839244231543034,-0.0012204364489036834,-1.5309591642019313,0.0024650633188798565,-0.0012351066890090578,0.00250064320296417,-0.00013810528588464877,0.157098516125032
GSM989839,-0.0025640589500000033,0.3763633375114068,0.0027494104604244285,-1.153986266506621,0.15903378358365217,0.003354793766661146,-0.01904604027076573,0.006300669184327035,0.009638098467192435,0.027678943289799918,0.004817901050628848,-0.0011406552099231249,-0.0024465389441274965,0.02447485519199688,-0.014423933250498067,-1.2334201071108737,0.00985759422489707,0.012945020884188807,0.008213019224839968,0.007811881040936441,0.38222301884476906
GSM989840,-0.012068479314180536,0.018510308311263657,-0.006817266354403273,0.5811059114237196,-0.627635610274055,0.0010900195783278832,0.02739033040292327,-0.012560751503897905,-0.009664934644675327,0.0483341643295887,-0.029487934426228435,-0.0002512344286458301,0.00010656797179819932,-0.02763700089802512,0.006647198502164997,0.3563003766303723,-0.004968240344155106,-0.005533676909877272,0.00845101177651486,0.007836626566060545,0.029009148125368256
GSM989841,-0.002139308282224306,-0.15962008155786123,-0.0043422352107569395,0.41233266115341394,-0.2710467927527418,-8.341387889743146e-05,0.02105983320376481,-0.0071210338123677275,-0.00908735028825447,0.046314501735039926,-0.010242521502206614,-6.467629903283978e-05,0.0008173926166108458,-0.026392392799053255,0.004638512922824134,0.7302242565745019,-0.008944499195479239,-0.008773205244892779,0.0004106570867179471,-0.0005914115728700153,-0.15597997519888906
GSM989842,0.008435689340785757,-0.19241923295234642,0.00043536259495624563,0.5734179027253532,0.1612609284064348,-0.0014329827072998569,0.0026083043595974686,-0.00019654465033625002,-0.003210086850529592,-0.03487716200193347,0.0003287173720565306,0.001142232646131447,0.00011810371091769412,-0.004872708218954358,0.0075224793791477396,0.2933129251406399,-0.00398382896580074,-0.006865512874099977,-0.006496894857576763,-0.006645448378947094,-0.20335976516393828
GSM989843,-0.015280095222706791,-0.16575811233144577,3.919548217368174e-05,-0.4760110894601439,-0.2882964902697438,-0.0038992437620208875,0.001495684933459529,0.0019009753575005561,0.002168941996188778,0.032358881924693605,0.029841596600121534,-0.0020947467339027526,0.006156080140470976,-0.00658454241757056,-0.006855838442334061,1.5803190221812002,-0.0022501077680630033,0.004422155729031374,-0.00417468148413036,-0.0017082620038593177,-0.1441150923507024
GSM989844,0.0017514967921528068,0.14550877481696034,0.0009294306612588343,0.004039608649804904,0.07300680423968231,0.0012681513378964837,-0.006420824583244666,0.0007276418122614814,0.0026802834904060546,-0.02401434412111314,-0.008388667517436943,0.0004665664617675702,-0.0019452893579341435,0.010933762261771562,0.00042632707480549925,-0.7418310226221081,0.004879347541958623,0.003051898499322192,0.0029824877219226664,0.00286947081157507,0.1408972404837101
GSM989845,0.024443812779821883,0.1125035093836999,-0.0010569578936525659,-0.3394048690148139,0.5336381580250986,0.00675685834936246,0.004164552286624712,0.00022220541730177956,-0.006311945380360839,0.07595459100558344,-0.02019022737168541,0.0011815132152435126,-0.007592503859044086,-0.008329932724038258,-0.003979087556871264,-1.4839999587731256,-0.007011363107366719,-0.009650506746012866,0.004295471711486698,-0.0013540286976905236,0.09163364129932461
GSM989846,0.0071494003074832335,-0.16231911510492125,0.0024803355182854148,-0.2663229303855985,0.30305759937799337,-0.001397656816379822,-0.0069012260294698535,0.00560914848892935,0.0014137987331821478,0.001785783232975291,0.021501346261402432,-0.00012289927938979872,0.001261399647475514,0.0020403252934073635,-0.0033307722503224113,0.45934843734737285,-0.003241390691684387,-0.0016622525984928416,-0.007487993613196409,-0.007532754954084453,-0.16583809307149977
